pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,batter_name,pitcher,pitcher_name,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/12/2021,88.2,-3.33,5.29,"Scherzer, Max",571976,Wil Myers,453286,Max Scherzer,strikeout,swinging_strike,,,,,9,Wil Myers strikes out swinging.,R,R,R,LAD,SD,S,2,,1,2,2021,0.22,0.46,0.42,1.66,,543333,,2,8,Top,,,,,669257,,,8.618638299,-128.258113,-3.756521233,1.006418396,22.33816291,-26.57430273,3.49,1.6,,,,88.5,2365,6.1,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.36,,,0,1,0,0,,57,4,Slider,6,0,0,6,0,6,0,6,Infield shift,Standard,190,0.002,-0.219
FF,9/12/2021,97.2,-3.33,5.22,"Scherzer, Max",571976,Wil Myers,453286,Max Scherzer,,ball,,,,,14,Wil Myers strikes out swinging.,R,R,R,LAD,SD,B,,,0,2,2021,-0.81,1.15,0.87,1.45,,543333,,2,8,Top,,,,,669257,,,13.05915635,-140.942176,-7.227170711,-13.37332052,26.91504629,-15.36635148,3.09,1.6,,,,97.4,2713,6.2,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.26,,,,,,,,57,3,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shift,Standard,230,0,0.031
SL,9/12/2021,86.6,-3.41,5.25,"Scherzer, Max",571976,Wil Myers,453286,Max Scherzer,,swinging_strike,,,,,7,Wil Myers strikes out swinging.,R,R,R,LAD,SD,S,,,0,1,2021,0.23,0.4,-0.71,1.68,,543333,,2,8,Top,,,,,669257,,,5.966485349,-126.2138031,-3.259059393,1.546373568,20.70852756,-27.46989766,3.49,1.6,,,,87.2,2890,6.2,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.32,,,,,,,,57,2,Slider,6,0,0,6,0,6,0,6,Infield shift,Standard,175,0,-0.089
FF,9/12/2021,94.4,-3.38,5.23,"Scherzer, Max",571976,Wil Myers,453286,Max Scherzer,,called_strike,,,,,8,Wil Myers strikes out swinging.,R,R,R,LAD,SD,S,,,0,0,2021,-0.83,1.33,0.19,1.93,,543333,,2,8,Top,,,,,669257,,,11.09605309,-137.0814834,-5.916846135,-12.5950054,25.39116202,-14.16200594,3.06,1.6,,,,94.9,1209,6.3,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.17,,,,,,,,57,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shift,Standard,201,0,-0.046
CH,9/12/2021,84.4,-3.3,5.3,"Scherzer, Max",502054,Tommy Pham,453286,Max Scherzer,field_out,hit_into_play,,,,,8,"Tommy Pham grounds out, third baseman Justin Turner to first baseman Max Muncy.",R,R,R,LAD,SD,X,5,ground_ball,0,1,2021,-1.1,0.45,-0.14,1.93,,543333,,1,8,Top,106.28,166.57,,,669257,,,9.54586264,-122.7486565,-2.483749326,-12.75393747,19.08687978,-27.31233446,3.41,1.56,,,,85.3,1531,6.4,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.1,,,0,1,0,0,,56,2,Changeup,6,0,0,6,0,6,0,6,Infield shift,Standard,249,0.004,-0.252
FF,9/12/2021,95.1,-3.25,5.34,"Scherzer, Max",502054,Tommy Pham,453286,Max Scherzer,,called_strike,,,,,14,"Tommy Pham grounds out, third baseman Justin Turner to first baseman Max Muncy.",R,R,R,LAD,SD,S,,,0,0,2021,-0.84,1.35,0.89,1.71,,543333,,1,8,Top,,,,,669257,,,12.68478749,-137.9697709,-6.924440517,-13.27041825,26.42572238,-13.46825322,3.31,1.56,,,,95.3,2590,6.3,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.25,,,,,,,,56,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,218,0,-0.048
CH,9/12/2021,85.7,-3.37,5.24,"Scherzer, Max",543333,Eric Hosmer,453286,Max Scherzer,double,hit_into_play,,,,,14,Eric Hosmer doubles (24) on a line drive to right fielder Mookie Betts.,R,L,R,LAD,SD,X,9,line_drive,2,1,2021,-1.04,0.35,0.3,1.37,,,,1,8,Top,210.84,97.5,,,669257,,,10.78250044,-124.4842013,-3.636046418,-12.79419471,21.7380764,-28.02134021,3.55,1.63,325,99.5,20,86.3,1393,6.5,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.05,0.347,0.431,1.25,1,1,1,5,55,4,Changeup,6,0,0,6,0,6,0,6,Strategic,Standard,252,-0.004,0.379
FF,9/12/2021,95.3,-3.32,5.25,"Scherzer, Max",543333,Eric Hosmer,453286,Max Scherzer,,ball,,,,,14,Eric Hosmer doubles (24) on a line drive to right fielder Mookie Betts.,R,L,R,LAD,SD,B,,,1,1,2021,-1,1.22,1.33,1.85,,,,1,8,Top,,,,,669257,,,14.39060888,-138.0239621,-6.023098525,-15.83002094,27.9523137,-15.28468054,3.72,1.63,,,,95.2,2613,6.3,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.21,,,,,,,,55,3,4-Seam Fastball,6,0,0,6,0,6,0,6,Strategic,Standard,223,0,0.038
CU,9/12/2021,78.2,-3.16,5.53,"Scherzer, Max",543333,Eric Hosmer,453286,Max Scherzer,,called_strike,,,,,7,Eric Hosmer doubles (24) on a line drive to right fielder Mookie Betts.,R,L,R,LAD,SD,S,,,1,0,2021,0.97,-0.87,-0.35,1.61,,,,1,8,Top,,,,,669257,,,4.25739161,-113.8555306,-0.007722902,7.661180288,20.49258747,-39.96997268,3.6,1.63,,,,78,2728,6.1,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.39,,,,,,,,55,2,Curveball,6,0,0,6,0,6,0,6,Strategic,Standard,55,0,-0.032
FC,9/12/2021,91.4,-3.39,5.27,"Scherzer, Max",543333,Eric Hosmer,453286,Max Scherzer,,ball,,,,,14,Eric Hosmer doubles (24) on a line drive to right fielder Mookie Betts.,R,L,R,LAD,SD,B,,,0,0,2021,-0.02,0.63,1.47,2.48,,,,1,8,Top,,,,,669257,,,12.22481937,-132.6836586,-2.582766046,-2.456687377,23.41839896,-24.33995465,3.75,1.63,,,,91.6,2687,6.2,632568,453286,669257,571970,607208,457759,608369,666158,641355,605141,54.34,,,,,,,,55,1,Cutter,6,0,0,6,0,6,0,6,Strategic,Standard,216,0,0.026
